ADD A	87	A←(A) + (A)
ADD B	80	A←(B) + (A)
ADD C	81	A←(C) + (A)
ADD D	82	A←(D) + (A)
ADD E	83	A←(E) + (A)
ADD H	84	A←(H) + (A)
ADD L	85	A←(L) + (A)
ADD M	86	A←Loc(HL) + (A)
ADI d8	C6	A←d8 + (A)
ADC A	8F	A←(A) + (A) + CY
ADC B	88	A←(B) + (A) + CY
ADC C	89	A←(C) + (A) + CY
ADC D	8A	A←(D) + (A) + CY
ADC E	8B	A←(E) + (A) + CY
ADC H	8C	A←(H) + (A) + CY
ADC L	8D	A←(L) + (A) + CY
ADC M	8E	A←Loc(HL) + (A) + CY
ACI d8	CE	A←d8 + (A) + CF
ANA A	A7	Проверка A
ANA B	A0	Логическое И B с A
ANA C	A1	Логическое И C с A
ANA D	A2	Логическое И D с A
ANA E	A3	Логическое И E с A
ANA H	A4	Логическое И H с A
ANA L	A5	Логическое И L с A
ANA M	A6	Логическое И Loc(HL) с A
ANI d8	E6	Логическое И непосредственные данные с A
CALL a16	CD	Передать управление подпрограмме по адресу a16
CZ a16	CC	Вызвать подпрограмму по адресу a16, если нуль
СNZ a16	C4	То же, если не нуль
СP a16	F4	То же, если плюс
СM a16	FC	То же, если минус
CC a16	DC	То же, если перенос
CNC a16	D4	То же, если нет переноса
CPE a16	EC	То же, если чётно
CPO a16	E4	То же, если нечётно
CMA	2F	Инвертировать A
CMC	3F	Инвертировать перенос
CMP A	BF	Установить флаг FZ
CMP B	B8	Сравнить A с B
CMP C	B9	Сравнить A с C
CMP D	BA	Сравнить A с D
CMP E	BB	Сравнить A с E
CMP H	BC	Сравнить A с H
CMP L	BD	Сравнить A с L
CMP M	BE	Сравнить A с Loc(HL)
CPI d8	FE	Сравнить A с непосредственными данными, заданными в команде
DAA	27	Десятичная коррекция аккумулятора (совершенно бесполезная команда. Я так и ни разу ей и не воспользовался:)
DAD B	09	Сложить BC с HL
DAD D	19	Сложить DE с HL
DAD H	29	Сложить HL с HL (удвоение HL)
DAD SP	39	Сложить SP с HL
DCR A	3D	A←(A) - 1 (декремент A)
DCR B	05	B←(B) - 1
DCR C	0D	C←(C) - 1
DCR D	15	D←(D) - 1
DCR E	1D	E←(E) - 1
DCR H	25	H←(H) - 1
DCR L	2D	L←(L) - 1
DCR M	35	Loc (HL)←(Loc(HL)) -1
DCX B	0B	BC←(BC) - 1
DCX D	1B	DE←(DE) -1
DCX H	2B	HL←(HL) - 1
DCX SP	3B	SP←(SP) -1
DI	F3	Запретить прерывания
EI	FB	Разрешить прерывания
HLT	76	Останов процессора
IN pp	DB	Ввести данные из порта pp
INR A	3C	A←(A) + 1 (инкрементировать A)
INR B	04	Инкрементировать B
INR C	0C	Инкрементировать C
INR D	14	Инкрементировать D
INR E	1C	Инкрементировать E
INR H	24	Инкрементировать H
INR L	2C	Инкрементировать L
INR M	34	Инкрементировать содержимое Loc(HL)
INX B	03	Инкрементировать BС
INX D	13	Инкрементировать DE
INX H	23	Инкрементировать HL
INX SP	33	Инкрементировать SP
JMP a16	C3	Перейти по адресу a16
JZ a16	CA	То же, если нуль
JNZ a16	C2	То же, если не нуль
JP a16	F2	То же, если плюс
JM a16	FA	То же, если минус
JC a16	DA	То же, если перенос
JNC a16	D2	То же, если нет переноса
JPE a16	EA	Перейти по адресу a16, если паритет чётный
JPO a16	E2	Перейти по адресу a16, если паритет нечётный
LDA a16	3A	Загрузить A из ячейки с адресом a16
LDAX B	0A	Загрузить A из ячейки с адресом Loc(BC)
LDAX D	1A	Загрузить A из ячейки с адресом Loc(DE)
LHLD a16	2A	Загрузить в HL содержимое ячейки с адресом a16
LXI B,d16	01	Загрузить в BC непосредственные данные d16
LXI H,d16	21	Загрузить в HL непосредственные данные d16
LXI SP,d16	31	Загрузить в SP непосредственные данные d16
MOV A,A	7F	Переслать из A в A
MOV A,B	78	Переслать из B в A (B←(A) )
MOV A,C	79	Переслать из C в A
MOV A,D	7A	Переслать из D в A
MOV A,E	7B	Переслать из E в A
MOV A,H	7C	Переслать из H в A
MOV A,L	7D	Переслать из L в A
MOV A,M	7E	Переслать из Loc(HL) в A
MOV B,A	47	Переслать из A в B
MOV B,B	40	Переслать из B в B (ещё одна странная команда)
MOV B,C	41	Переслать из C в B
MOV B,D	42	Переслать из D в B
MOV B,E	43	Переслать из E в B
MOV B,H	44	Переслать из H в B
MOV B,L	45	Переслать из L в B
MOV B,M	46	Переслать из Loc(HL) в B
MOV C,A	4F	Переслать из A в C
MOV C,B	48	Переслать из B в C
MOV C,C	49	Переслать из C в C
MOV C,D	4A	Переслать из D в C
MOV C,E	4B	Переслать из E в C
MOV C,H	4C	Переслать из H в C
MOV C,L	4D	Переслать из L в C
MOV C,M	4E	Переслать из Loc(HL) в C
MOV D,A	57	Переслать из A в D
MOV D,B	50	Переслать из B в D
MOV D,C	51	Переслать из C в D
MOV D,D	52	Переслать из D в D
MOV D,E	53	Переслать из E в D
MOV D,H	54	Переслать из H в D
MOV D,L	55	Переслать из L в D
MOV D,M	56	Переслать из Loc(HL) в D
MOV E,A	5F	Переслать из A в E
MOV E,B	58	Переслать из B в E
MOV E,C	59	Переслать из C в E
MOV E,D	5A	Переслать из D в E
MOV E,E	5B	Переслать из E в E
MOV E,H	5C	Переслать из H в E
MOV E,L	5D	Переслать из L в E
MOV E,M	5E	Переслать из Loc(HL) в E
MOV H,A	67	Переслать из A в H
MOV H,B	60	Переслать из B в H
MOV H,C	61	Переслать из C в H
MOV H,D	62	Переслать из D в H
MOV H,E	63	Переслать из E в H
MOV H,H	64	Переслать из H в H
MOV H,L	65	Переслать из L в H
MOV H,M	66	Переслать из Loc(HL) в H
MOV L,A	6F	Переслать из A в L
MOV L,B	68	Переслать из B в L
MOV L,C	69	Переслать из C в L
MOV L,D	6A	Переслать из D в L
MOV L,E	6B	Переслать из E в L
MOV L,H	6C	Переслать из H в L
MOV L,L	6D	Переслать из L в L
MOV L,M	6E	Переслать из Loc(HL) в L
MOV M,A	77	Переслать из A в M
MOV M,B	70	Переслать из B в M
MOV M,C	71	Переслать из C в M
MOV M,D	72	Переслать из D в M
MOV M,E	73	Переслать из E в M
MOV M,H	74	Переслать из H в M
MOV M,L	75	Переслать из L в M
MVI A,d8	3E	Переслать d8 в A
MVI B,d8	06	Переслать d8 в B
MVI C,d8	0E	Переслать d8 в C
